file_name,deployment,location,pollutant,timezone,start,end,header_type,,,,,,,,,,,,,,,,,,,,,,,,,
C3_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C4_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C5_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C6_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C7_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C8_harmon2,H,,,MST,3/19/2024 21:00,4/3/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C9_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C10_harmon2,H,,,MDT,3/19/2024 21:00,4/3/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C11_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C13_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C14_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C15_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C16_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C17_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C18_harmon2,H,,,MDT,3/19/2024 21:00,4/3/2024 0:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C22_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C20_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C24_harmon2,H,,,PDT,3/19/2024 21:00,4/3/2024 0:00,3.1.0,,,,,,,,,,,,,,,,,,,,,,,,,
C1_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C2_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C3_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C4_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C5_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C6_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C7_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C8_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C9_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C10_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C13_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C14_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
C16_harmonization_081424,H,,,PDT,8/14/2024 13:00,8/23/2024 12:00,3.1.2,,,,,,,,,,,,,,,,,,,,,,,,,
